__label__2 , 赫斯基 首季 盈利 增胜 预期
__label__2 , 香港中华煤气 昨日 公布 中期 业绩 大行 最低 看至 港元
__label__1 , 公用 股 全线 反弹 港华 煤气 现飙 超过 破 五十 天线
__label__1 , 香港中华煤气 年度 净利润 同比 增至 亿港元 每股 派息 港仙
__label__1 , 大行 评级 大和 升 煤气 目标价 港元 重申 跑 赢大 市 评级
__label__3 , 高盛 香港中华煤气 估值 过高 评级 沽售
__label__2 , 九龙仓集团 获 增持 万股
__label__3 , 九龙仓集团 去年 基础 净 盈利 亿港元 同比 降
__label__2 , 高盛 九龙仓 予 目标价 元 买入 评级
__label__3 , 九龙仓集团 营收 下滑 内地 投资 亮点 多多
__label__2 , 花旗 重申 九仓 买入 评级 降 目标价 至元
__label__2 , 吴庭 欣 九龙仓集团 今年 内地 住宅 销售 目标 亿元
__label__2 , 九龙仓集团 年 纯利 减少 亿港元
__label__2 , 天际 办公楼 承租 过半 重庆 国金中心 推高区 办公 空间
__label__2 , 阳光 获亿 信用贷 华润 亿美元 中票 拟上市
__label__2 , 九龙仓 获 汇丰 亿港元 绿色 贷款 投资 成都
__label__2 , 大摩 九龙仓 目标价 港元 给予 增持 评级
__label__2 , 大摩 予 九仓 目标价 港元 评级 增持
__label__3 , 九龙仓集团 副 主席 兼 董事 周安桥 减持 万股
__label__3 , 周安桥 月 四度 减持 九龙仓 股份 涉资约 万港元
__label__2 , 绿城 中国 为京 项目 引入 招商局 地产 首创置业 附属 股东
__label__3 , 周安桥 月次 减持 九龙仓 共计 万股 持股 数量 减至 万股
__label__3 , 周安桥 减持 九龙仓 万股 套现 万港元
__label__3 , 九龙仓集团 副 主席 周安桥 减持 万股
__label__3 , 九龙仓集团 副 主席 周安桥 减持 万股
__label__3 , 汇丰 首予 九龙仓集团 减持 评级 目标价 港元
__label__1 , 外资 证券 行 看汇控
__label__2 , 汇丰控股 未来 主要 收入 带动 业绩 增长
__label__2 , 汇丰控股 期望 今年 员工 数目 维持 平稳
__label__2 , 高盛 升汇控 目标价 至元 重申 买入 评级
__label__2 , 大摩 汇控 季绩 全方位 强劲 重申 增持 评级
__label__2 , 汇丰控股 于年 中 公布 股份 回购 决定
__label__2 , 汇丰控股 零售银行 财富 管理 突出 税前 利润 同比 涨近
__label__3 , 传 汇丰控股 检讨 成本 或涉 裁员
__label__1 , 大摩 预计 汇控 首季 调整 税前 利润 少 赚 维持 增持 评级
__label__2 , 汇丰 亚洲 增持 汇丰 沙地 阿拉伯 股权
__label__2 , 汇丰控股 委任 葛伟 治为 公司 秘书长
__label__2 , 汇丰控股 拟于 月 派发 年度 第一次 股息
__label__2 , 汇丰控股 月 日 召开 董事 会议 审议 首季 盈利 派息
__label__3 , 汇控 股东会 否决 一项 削减 退休金 建议
__label__3 , 汇丰控股 埃文斯 退任 董事
__label__3 , 汇控 世界 经济 前景 一年 前 更 难 预测
__label__2 , 汇丰控股 英国 举行 股东会 提问
__label__2 , 滙 丰 控股 亚洲 低碳 金融市场 本世纪 全球 投资 重点
__label__2 , 汇丰控股 亚洲 低碳 金融市场 本世纪 全球 投资 重点
__label__2 , 汇丰控股 折让 发行 亿股 代息 股份
__label__2 , 汇控 维持 派息 政策 力求 回馈 股东 业务 发展 平衡
__label__2 , 汇丰 董事长 没有 搬迁 总部 计划 未来 总部 留在 英国
__label__2 , 汇丰控股 于月 日 派发 第四次 股息 每股 美元
__label__2 , 汇控 削减 执行 董事 退休金 津贴
__label__2 , 汇丰控股 合计 授出 万股 业绩 表现 股份 限制 股份 奖励
__label__2 , 汇丰控股 月 日 股权 激励 优先 认股 计划 增发 万股
__label__2 , 汇丰控股 集团 行政 总裁 中国 迎来 更 机遇
__label__2 , 国安 香港 电能实业 维持 收集 评级 目标价 港元
__label__3 , 花旗 下调 电能 目标价 至元 评级 买入
__label__3 , 电能实业 年度 股东 应 占 溢利 跌至 亿港元 每股 派 港元
__label__3 , 大和 降 电能实业 目标价 至元 维持 跑 输 大市
__label__3 , 电能实业 长江和记实业 减持 万股
__label__2 , 国泰君安 香港 电能实业 目标价 港元 予 收集 评级
__label__3 , 电能实业 跌超 控股 股东 长江 基建 出售 万股
__label__3 , 电能实业 股东 长江 基建 出售 公司 万股
__label__2 , 光大 新鸿基 中电控股 波动 市况 中具 防守 性 建议 买入
__label__3 , 长实集团 巨资 收购 失败 地产 撤退 迹象 渐显
__label__2 , 电能实业 拟以 亿 新西兰元 认购 新西兰 配电 公司 亿股 股份
__label__3 , 港股 午评 港股 恒指 跌 银河娱乐 领跌 蓝筹
__label__2 , 花旗 调整 公用 股 确信 买入 名单 华电 新奥 替换 华能 润燃
__label__2 , 花旗 料 长建 长和 买 基建 资产 股权 提升 盈利 吁 买入
__label__2 , 长 和系 欲豪 掷 约 亿元 人民币 全面 收购 澳 最大 天然气 管道 商
__label__1 , 瑞信 电能实业 维持 跑 赢大 市 评级 目标价 元
__label__3 , 德银 降 电能 目标价 港元 上半年 派息 逊 预期
__label__1 , 汇丰 研究 香港 公用 股中 看好 长建 电能 评级 买入
__label__1 , 香港金融集团 年度 股东 应 占 溢利 增 倍至 亿港元 月 日 复牌
__label__2 , 香港金融集团 年度 溢利 亿元 派息
__label__3 , 香港金融集团 陈伟明 辞任 独立 非 执行 董事
__label__2 , 香港金融集团 获 主席 许智铭 增持 减持
__label__1 , 香港金融集团 获 主席 许智铭 增持 万股
__label__2 , 香港金融集团 获 主席 许智铭 增持 万股
__label__2 , 香港金融集团 公布 协议 订约 方 尚未 达成 先决条件 协议 将告 终止 失效
__label__2 , 香港金融集团 拟 收购 马达加斯加 天然气 股本 告吹
__label__1 , 香港金融集团 获 主席 许智铭 增持 万股
__label__2 , 香港金融集团 获 主席 许智铭 增持 万股
__label__1 , 香港金融集团 获 主席 许智铭 增持 万股
__label__2 , 香港金融集团 获 主席 许智铭 增持 万股
__label__2 , 香港金融集团 获 主席 许智铭 增持 万股
__label__1 , 香港金融集团 获 主席 许智铭 减持 万股 增持 万股
__label__2 , 香港金融集团 获 主席 许智铭 两 日增 持 万股
__label__2 , 香港金融集团 拟 亿港元 收购 马达加斯加 天然气 股权
__label__2 , 香港金融集团 获 主席 许智铭 增持 万股
__label__3 , 香港金融集团 澄清 声明 公告
__label__3 , 香港金融集团 澄清 合时代 金融 集资 失利 关系
__label__1 , 权益 变动 香港金融集团 获 主席 许智铭 增持 万股
__label__1 , 权益 变动 香港金融集团 获 主席 许智铭 两 日增 持 万股
__label__1 , 权益 变动 香港金融集团 获 主席 许智铭 增持 万股
__label__1 , 权益 变动 香港金融集团 获 主席 许智铭 两日 共 增持 万股
__label__1 , 权益 变动 香港金融集团 获 主席 许智铭 增持 万股
__label__1 , 权益 变动 香港金融集团 获 主席 许智铭 增持 万股
__label__1 , 权益 变动 香港金融集团 获 主席 许智铭 增持 万股
__label__1 , 权益 变动 香港金融集团 获 主席 许智铭 增持 万股
__label__1 , 凯富 能源 创 逾 两年 新高 年度 扭亏为盈
__label__2 , 凯富 能源 拟 亿元 出售 日复牌
__label__3 , 电讯盈科 减持 万股
__label__2 , 获 首批 香港 虚拟银行 牌照 众安 期望 至个 月 推出 服务
__label__2 , 众安 京东 抢先 拿到 香港 首批 虚拟银行 牌照 阿里 腾讯
__label__2 , 渣打 电讯盈科 香港电讯 携程 金融 合营 公司 获发 首批 香港 虚拟银行 牌照
__label__2 , 电讯盈科 拟 万美元 购买 债券
__label__2 , 汇丰 升电盈 目标价 港元 予 持有 评级
__label__2 , 电讯盈科 年度 纯利 亿港元 每股 派息 港仙
__label__2 , 电讯盈科 李国宝 卸任 独立 非 执行 董事 职
__label__2 , 电讯盈科 李国宝 辞任 独董
__label__2 , 电讯盈科 珠海 横琴 设立 全资 子公司
__label__2 , 电讯盈科 李国宝 辞任 董事
__label__2 , 电讯盈科 获 摩通 唱 升近 破 多条 主要 平均线
__label__2 , 大华 继显 电讯盈科 买入 区间 港元
__label__2 , 电讯盈科 陆益民 辞任 董事会 副 主席 李福申 接任
__label__1 , 获 欧联 欧霸 杯 播放权
__label__3 , 电盈 控告 香港宽频 侵犯 商标 声誉 败诉
__label__3 , 电 盈盈 科 中期 纯利 倒退 现靠 稳
__label__3 , 港股 独角兽 股票 频频 破发 启示 风险意识 入脑 入心
__label__3 , 大跌 时 港股 高 股息 股票价值 凸显
__label__3 , 港股 复盘 开年 涨幅 悉数 抹 恒指 一周 下挫 千点
__label__1 , 大行 评级 瑞信 电盈 业绩 胜 预期 目标价 上调 港元
__label__2 , 大行 评级 大摩 维持 电讯盈科 大市 同步 评级 目标价 港元
__label__1 , 电讯盈科 同比 多赚 拟 每股 派 港币 分
__label__1 , 电讯盈科 年度 净利 涨至 亿港元
__label__3 , 九号运通 年度 股东 应 占 亏损 减少 亿港元 核数师 公司 持续 经营 能力 存 疑问
__label__3 , 九号运通 预计 年 股东 应 占 亏损 收窄 亿港元
__label__2 , 九号运通 延长 收购 股份 余下 代价 付款 期限 未 达 溢利 保证
__label__2 , 九号运通 完成 出售 股份
__label__2 , 九号运通 委任 致同 香港会计师事务所 新 核数师
__label__2 , 九号运通 向东海 金融 发行 万美元 票据
__label__2 , 九号运通 获大 股东 朱柏 衡两 日增 持 万股
__label__1 , 九号运通 获大 股东 朱柏 衡两 日增 持 万股
__label__2 , 九号运通 获 两 日增 持 万股
__label__2 , 九号运通 延长 出售 股权 期限
__label__2 , 九号运通 获大 股东 朱柏 衡两 日增 持 万股
__label__2 , 九号运通 中期 亏损 减少 万港元
__label__2 , 九号运通 公司 卖方 未能 达成 溢利 保证 注销 可换 股票
__label__3 , 九号运通 年度 净亏损 增至 亿港元
__label__1 , 九号运通 拟 万港元 出售 博世 控股 股权
__label__3 , 九号运通 预计 年度 亏损 扩大 亿港元
__label__1 , 九号运通 发行 万美元 东海 金融 受益人 票据 利息
__label__1 , 九号运通 拟 出资 亿元 管理 合伙企业 开发 江苏 房地产 项目
__label__1 , 九号运通 授出 万份 购 股权 行使 价 溢价
__label__1 , 中国 优通 出售 亿股 九号运通 股份 净赚 万港元
__label__1 , 港股 异动 九号运通 获 主要 股东 溢价 提要 约 复牌 涨近 一成
__label__1 , 九号运通 获 主要 股东 溢价 提 自愿 现金 要约 月 日 复牌
__label__3 , 九号运通 上半年 亏损 增加 倍至 亿港元
__label__3 , 九号运通 预期 年 上半年 股东 应 占 亏损 亿港元
__label__2 , 恒隆集团 获 增持 万股
__label__2 , 陈启宗 未来 数年 前景 应该 十分 乐观
__label__3 , 恒隆集团 年 股东 应 占 纯利 亿港元 同比 下降
__label__3 , 恒隆集团 年 股东 应 占 净利 同比 下滑 亿元 每股 派元
__label__2 , 加快 产业 集聚 恒隆集团 打造 汽车 零部件 百亿 产业园
__label__3 , 恒隆集团 基金 减持 万股
__label__3 , 恒隆集团 遭 股东 减持 万股 涉资 万港元
__label__2 , 恒隆地产 获 执董 陈文博 增持 现升 逾
__label__1 , 陈启宗 商业地产 领域 恒隆 依然 先发 优势
__label__1 , 恒隆集团 增持 恒隆地产 万股 每股 元
__label__1 , 陈启宗 恒隆地产 内地 项目 按计划 推进
__label__1 , 香港置地 布局 北京 高端 商业 年 迎 开业 李嘉诚 走后 港 企在 内地 扩张
__label__1 , 恒隆 系 中期 业绩 符合 预期 董事长 看好 内地 发展前景
__label__1 , 恒隆集团 中期 净利 增至 亿港元
__label__1 , 恒隆集团 中期 股东 应 占 纯利 同比 增至 亿港元 拟 派息 每股 港元
__label__1 , 国内 奢侈品 消费 悄然 回暖 压抑 购买力 财富 效应
__label__1 , 恒隆 系 去年 物业 销售收入 大升 业绩 改观 需 内地 零售 市 道 复苏
__label__1 , 内地 零售 改善 料 恒隆 多赚 三成 大行 推荐 买入
__label__1 , 恒隆集团 股东 函 陈启宗 熊市 珍贵 机遇 每家 公司 应 善加利用
__label__1 , 恒隆集团 陈启宗 行业 冬天 企业 改革 好时机
__label__2 , 大摩 升 恒生 目标价 至元 维持 增持 评级
__label__2 , 恒生 中国 宋 跃升 紧抓 粤港澳 大湾区 发展 机遇
__label__2 , 恒生银行 宋 跃升 盼望 负面 清单 制度 更好 落地
__label__2 , 恒生银行 年 股东 应 占 溢利 增至 亿港元 全年 派息 每股 港元
__label__2 , 恒生银行 年 净利润 亿将 致力于 大湾区 金融服务 发展
__label__3 , 恒生银行 李瑞霞 辞任 董事
__label__2 , 香港 家 公司 发 虚拟银行 牌照 腾讯 蚂蚁金服 在内
__label__2 , 大摩 净 利息收入 增长 胜 预期 重申 恒生 买入 评级
__label__2 , 瑞银 予 恒生银行 中性 评级 目标价 港元
__label__2 , 小摩 恒生 成本 高及 手续费 收入 低 维持 中性 评级
__label__2 , 美银 美林 恒生银行 目标价 升至 元 跑 输 大市 评级
__label__3 , 里昂 降 恒生 评级 跑 赢大 市 目标价 下调 至元
__label__2 , 恒生银行 年 净利 亿港元 同比 增长
__label__2 , 细摩 恒生银行 目标价 元
__label__2 , 大摩 恒生银行 目标价 元
__label__1 , 恒生银行 获 中金 上调 目标价
__label__2 , 恒生银行 大湾区 细则 出台 配合 发展
__label__2 , 恒生银行 年 净利 同比 增长 亿港元 每股 派元
__label__2 , 恒生银行 香港 以外 使用 贷款 微升
__label__2 , 恒生银行 净 利息收入 显著 增长 亿港元
__label__2 , 外资 金融机构 迎来 新 商机
__label__3 , 小摩 降 恒生银行 评级 中性 下调 目标价 至元
__label__3 , 摩通 恒生银行 降至 中性 评级 目标价 下调 港元
__label__2 , 高盛 降 中银 恒生 目标价 恒生 评级 下调 中性
__label__2 , 恒生 中国 发布 个人 手机银行 客户端
__label__2 , 最低 至倍 基准利率 广州 家 银行 下调 房贷利率
__label__2 , 严 监管 有利于 公平竞争 恒生 中国 跨境 联动 谋发展
__label__3 , 恒生 中国 宋 跃升 银行业 延续 规模 增速 放缓 信贷 质量 改善 态势
__label__3 , 花旗 年 香港银行 股 下跌
__label__2 , 小摩 降 恒生 目标价 港元 维持 增持 评级
__label__3 , 花旗 恒生银行 目标价 降至 港元 给予 中性 评级
__label__2 , 恒基兆业 再度 本土 扩张 申请 强拍 估值 亿港元 落山 道 旧楼
__label__2 , 恒地 土瓜湾 旧楼 申请 强拍
__label__2 , 恒地 申请 大角咀 两 地盘 强拍 估值 逾 亿
__label__2 , 背靠 中国 奥园 奥园 健康 分羹 大湾区 发展 红利
__label__2 , 恒基地产 年度 净利润 按年 升 派息 兼送 紅股
__label__3 , 恒基地产 主席 李兆基 考虑 退任 建议 李家杰 李家诚 出任 联席 主席 总经理
__label__3 , 恒基地产 股东 应 占 年度 盈利 增至 亿港元 每股 派息 港元 送股
__label__2 , 恒指 涨幅 扩大 地产股 集体 走高
__label__2 , 恒基兆业 亿港元 投 香港 深水 埗 青山 道 元州 街 项目
__label__2 , 港股 沽空 统计 月 日
__label__2 , 恒基地产 独 董梁 希文 于月 日 离世
__label__2 , 传 恒基兆业 再购 香港 土瓜湾 物业 呎 价 万港元
__label__3 , 恒地 逾 亿夺市 建局 青山 道 项目 逊 预期
__label__2 , 恒基 兆業 億 港元 投 深水 埗 地皮
__label__2 , 恒基地产 油塘湾 项目 融资 亿美元
__label__2 , 外媒 恒基地产 财团 正为 油塘湾 项目 筹资 亿港元
__label__2 , 恒地 山顶 地皮 流标 空置 税 无关
__label__1 , 汇证 推荐 新世界 新地 恒地 或成 最大 受益者
__label__3 , 希慎兴业 减持 万股
__label__3 , 希慎兴业 减持 万股
__label__2 , 希慎兴业 授出 万份 购 股权
__label__1 , 逃离 中环 铜锣湾 地王 希慎兴业 一年 挣 亿港元
__label__2 , 里昂 升希慎 目标价 港元 评级 跑 输 大市
__label__1 , 美银 美林 业绩 略胜 预期 升希慎 目标价 港元
__label__2 , 大和 全年 盈利 超 预期 升希慎 目标价 港元
__label__2 , 大摩 希慎兴业 去年 业绩 符 预期 给予 大市 同步 评级
__label__2 , 希慎兴业 料 今年 写字楼 租金 市 道 平稳 投资 保持 审慎
__label__1 , 希慎兴业 年 股东 应 占 利润 同比 增长 亿港元
__label__2 , 希慎兴业 年 溢利 亿港元 得益于 投资 物业 估值 公平 值 收益
__label__2 , 希慎首 两 月 人流量 录得 单位 数 增长
__label__2 , 希慎兴业 决议 取消 策略 委员会
__label__2 , 希慎兴业 年涨 近倍 星巴克 中国 进入 董事会
__label__1 , 汇丰 上调 希慎兴业 目标价 至元 维持 持有
__label__1 , 大和 希慎 铜锣湾 物业 组合 盈利 前景 维持 买入 评级
__label__1 , 希慎兴业 中期 净利 同比 增 逾 倍至 亿港元 中期 息 每股 港仙
__label__1 , 高盛 上调 希慎兴业 目标价 至元 评级 升至 中性
__label__1 , 瑞信 维持 希慎兴业 优于 大市 惟升 目标价
__label__1 , 麦格理 上调 希慎兴业 目标价 至元
__label__3 , 希慎兴业 年度 纯利 增近 倍 唯 股价 下跌 近
__label__1 , 大和 上调 希慎兴业 目标价 至元
__label__1 , 瑞信 希慎 基本 溢利 略高于 市场 预期 予跑 赢大 市 评级
__label__1 , 希慎兴业 年 净利 同比 增长 倍至 亿元 基本 净利 增
__label__2 , 希慎兴业 年度 纯利 大涨 亿港元
__label__1 , 希慎 年初一 七 商场 人流 录 双位数 增长
__label__2 , 盈信控股 委任 蒙灿 独立 非 执行 董事
__label__2 , 盈信控股 授出 亿港元 贷款
__label__2 , 盈信控股 亿 收购 九龙塘 豪宅
__label__2 , 盈信 亿购 九龙塘 豪宅
__label__2 , 盈信控股 附属 拟 亿港元 收购 香港 九龙塘 物业
__label__2 , 盈信控股 采纳 一项 股息 政策
__label__2 , 盈信控股 完成 收购 取得 标的物 业
__label__2 , 盈信控股 复牌 斥 亿港元 购入 香港 石澳 海滨 别墅
__label__2 , 盈信控股 斥 亿港元 收购 石澳 豪华 住宅区 物业
__label__3 , 盈信控股 月 日 停牌 以待 发布 内幕消息
__label__2 , 盈信控股 附属 斥 万港元 收购 股权
__label__2 , 盈信控股 中期 盈利 亿元 派息
__label__2 , 盈信控股 中期 股东 应 占 溢利 亿港元 同比 增长
__label__1 , 盈信控股 全年 多赚 倍 股息 仙
__label__1 , 盈信控股 年度 净利 同比增加 约 亿港元
__label__1 , 盈信控股 年度 溢利 增长 亿港元 每股 派息 港元
__label__3 , 盈信控股 遭独 董叶 国谦 减持 万股
__label__3 , 盈信控股 中期 净利 减少 万港元
__label__1 , 盈信控股 拟 收购 富亮 塑胶原料 颜料 股权
__label__1 , 盈信控股 取消 授出 万份 购 股权
__label__1 , 盈信控股 耗资 万港元 购回 股份 万股
__label__2 , 新地 签亿 银团 贷款
__label__2 , 新鸿基地产 签订 亿港元 银团 贷款 期限 年
__label__2 , 新鸿基 香港 元朗 地皮 改划 住宅 提供 伙 单位
__label__3 , 新鸿基地产 贝莱德 减持 万股
__label__3 , 粤 房企 负债率 港 房企 三倍
__label__2 , 高盛 调升 新鸿基地产 目标价 港元
__label__2 , 房地产业 代表 委员 建言 两会 粤港澳 大湾区 成 高频词
__label__2 , 李慧芬 港元 左右 买入 新鸿基地产 目标 港元
__label__2 , 里昂 升 新地 目标价 港元 评级 跑 输 大市
__label__2 , 野村 升 新地 目标价 港元 评级 买入
__label__2 , 大华 继显 新鸿基地产 上半年 合约 销售 超标 维持 买入 评级
__label__2 , 大摩 升 新地 目标价 港元 评级 增持
__label__2 , 大和 调 高新 目标价 港元 维持 买入 评级
__label__2 , 郭炳联 携 三代 新鸿基 拟 加快 香港 销售 实录
__label__2 , 新鸿基地产 启德 满意 内地 会 继续 加大 投资
__label__2 , 新鸿基地产 下半年 很多 盘 推 亿港元 销售 达到
__label__3 , 新鸿基地产 中期 股东 应 占 溢利 同比 降至 亿港元 每股 派 港元
__label__3 , 正荣 地产 主动 回购 美元 债 释放 净 负债 降低 信号
__label__2 , 汇丰 新地 今年 香港 楼市 复苏 中 受益 评级 买入
__label__2 , 汇丰 新地 目标价 升至 元 维持 买入 评级
__label__2 , 新鸿基地产 香港 九巴车厂 地皮 计划 获批 预计 投资 亿港元
__label__2 , 新鸿基 亿港元 投 香港 大埔 宅地
__label__2 , 新鸿基地产 亿港元 夺 白石 角地
__label__2 , 新鸿基地产 香港 长 沙湾 地王 申建 层 综合酒店
__label__1 , 交银 国际 香港 房产 股 推荐 新地 世茂
__label__2 , 电商 渠道 销售额 激增 爱马仕 退出 欧莱雅集团 董事会
__label__2 , 瑞银 新世界 给予 买入 评级 目标价 升至 港元
__label__2 , 新世界发展 因获 董事 行使 购 股权 折让 发行 万股
__label__2 , 新世界发展 月 日 因购 股权 获 行使 合计 发行 万股
__label__2 , 新世界发展 因购 股权 获 行使 合计 发行 万股
__label__2 , 新世界发展 新征途 布局 粤港澳 大湾区 发力 商业地产
__label__2 , 小摩 升 新世界 目标价 港元 评级 增持
__label__2 , 野村 升 新世界 目标价 港元 评级 买入
__label__2 , 一图 懂 新世界发展 财年 中期 业绩
__label__3 , 新世界 地产 主业 表现 欠佳 郑家纯 称新 业务 出 成绩
__label__2 , 新世界发展 看好 大湾区 保险业务 潜力 养老 床位 增至 千个
__label__2 , 郑家纯 新世界发展 预见未来 没有 集资 需要
__label__2 , 新世界发展 财年 上半年 股东 溢利 亿港元
__label__2 , 新世界发展 年个 月 净利润 维持 稳定 达 亿港元
__label__2 , 新世界发展 打造 香港 首个 置业 区块 链 跨界 平台 第二季度 面世
__label__2 , 新世界发展 月 日 注销 万股
__label__2 , 新世界发展 品牌优势 显著 协同 效用 不断 释放
__label__2 , 多家 房企 大举 涉险 看重 牌照 融资
__label__2 , 花旗 新世界 香港 地产股 首选 目标价 升至 港元
__label__2 , 东方报业集团 中期 归属 股东 溢利 减少 万港元
__label__1 , 东方报业集团 派发 特别 中期 息 每股 港仙 股价 暴涨 超
__label__1 , 东方报业集团 中期 净利润 同比 增至 万港元 每股 派息 港仙
__label__1 , 东方报业集团 拟 亿港元 收购 香港 物业 加强 提升 物业 投资 组合
__label__1 , 加速 转型 东方报业集团 中期 扭亏为盈 净赚 万港元
__label__2 , 东方报业集团 发 盈喜
__label__3 , 东方 报业 发盈 警料 中期 转亏
__label__2 , 会德丰 预期 月 推出 香港 日出 康城 住宅 项目 首批 供应 约个 单位
__label__1 , 会德丰 获 股东 吴光正 增持 万股
__label__2 , 会德丰 认购 权获 行使 发行 万股
__label__2 , 会德丰 首季 销售 套现 亿港元 相信 二季度 楼市 表现 乐观
__label__3 , 会德丰 执董 黄光耀 减持 万股
__label__2 , 会德丰 签署 一笔 亿港元 五年期 贷款 持续 发展 表现 挂钩
__label__2 , 会德丰 签 亿元 持续 发展 表现 挂 鉤 贷款
__label__2 , 会德丰 地产 牵头 财团 近 亿 投得 启德 住宅 总投资额 约 亿
__label__2 , 麦格理 升 会德丰 目标价 至元 重申 跑 赢大 市 评级
__label__3 , 会德丰 高盛 下调 目标价
__label__2 , 谨慎 会德丰 吴宗权 谈 启德 空置 税 香港 楼市
__label__3 , 会德丰 年 股东 应 占 利润 亿港元 同比 下滑
__label__2 , 会德丰 料 全年 销售 目标 超 亿港元 整体 发展 持 审慎 态度
__label__2 , 会德丰 年 香港 楼市 不易 看清 上上下下 奇怪
__label__2 , 会德丰 乐琳 会德丰 地产 新加坡 新加坡交易所 除牌
__label__3 , 会德丰 年 股东 应 占 利润 同比 下滑 亿港元 每股 派元
__label__2 , 会德丰 指 海航 转让 启德 地皮 成交价 只属 市价
__label__2 , 会德丰 年超 单位 可售 启德 地块 投资 百亿
__label__2 , 海航 亿港元 启德 地块 出售 会德丰
__label__3 , 海航 告别 香港 地产 开发 欲售 最后 一幅 地块
__label__2 , 招银 国际 会德丰 上周 升破 颈线予 短期 目标价 港元
__label__3 , 会德丰 副 主席 兼 执董 梁志坚 减持 万股
__label__3 , 今年 会德丰 累售 约 伙 住宅 总 套现 逾 亿港元
__label__1 , 交银 国际 继续 偏好 新鸿基地产 华润置地 世茂
__label__2 , 会德丰 董事 行使 认购 权 折让 发行 万股
__label__3 , 香港 月 楼价 跌中 大型 单位 跌幅 居前
__label__2 , 会德丰 私有化 星 附属 过关
__label__3 , 会德丰 遭 副 主席 兼 执董 梁志坚 减持 万股
__label__3 , 会德丰 遭 副 主席 梁志坚 减持 万股
__label__3 , 港股 地产股 集体 大跌 受 香港 市场 加息 预期 拖累
